1000 0.500000
0
1
0
Filter @ 0x10a8010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
30030005 55747898 7
40010596 55672941 8
20010025 55455000 9
40010412 54897380 10
40010460 54048870 11
50000079 52998258 12
50000058 50837348 13
40010528 49587863 14
40010105 48214175 15
50000086 45080588 16
20010019 44597999 17
40010136 43948248 18
40010527 43911696 19
50000081 41477547 19
40010604 41117746 5
40010369 38586246 6
40010446 38415097 7
40010021 37849166 8
40010478 37044787 9
40010181 37043935 10
40010622 36905953 11
40010423 36621250 12
40010126 36609093 13
30030015 36523343 14
40010355 35357438 15
50000064 35243722 16
50000000 34483491 17
40010139 34260158 18
40010538 34189158 19
40010352 33986764 19
40010472 33606238 6
20010029 32091641 7
10010002 32060072 8
40010402 31110003 9
40010164 30447591 10
50000078 29856900 11
40010161 29381004 12
40010571 28802684 13
50000080 28196918 14
40010556 28050788 15
30030006 27953563 16
40010131 27122752 17
20010034 27080772 18
20010012 26537543 19
50000082 26247069 20
50000065 26101847 20
20010040 24774227 7
20010007 24531721 8
40010155 24433077 9
20010005 23736609 10
40010256 23594049 11
40010133 23124212 12
40010127 23118465 13
40010271 23110554 14
30030011 22913960 15
50000085 22808851 16
40010153 22304606 17
50000134 21943596 18
40010124 20781804 19
40010421 20661871 20
40010101 20559866 21
40010566 20546652 21
40010567 20282882 8
20010039 20085745 9
40010490 19029126 10
40010118 18871715 11
40010130 18736244 12
40010422 18579611 13
50000118 18552823 14
40010163 17875704 15
40010159 17583258 16
20010002 17344997 17
50000138 17334344 18
40010437 17306828 19
40010142 17027323 20
40010512 16917053 21
50000084 16876790 22
50000090 16502094 22
40010120 16103982 9
30030001 15948118 10
40010513 15913773 11
40010464 15568120 12
40010141 15536090 13
40010466 15500377 14
40010234 15393832 15
50000083 15126047 16
50000088 15054895 17
40010144 14522708 18
30020007 14418600 19
40010122 14290404 20
40010065 14272447 21
40010439 14146042 22
20010037 13951982 22
50000122 13915255 10
40010379 13804843 11
40010128 13545502 12
50000067 13344577 13
40010237 13302749 14
40010129 13301973 15
40010156 13224816 16
40010258 13195532 17
40010112 12974702 18
50000099 12885908 19
40010113 12542579 20
50000105 12527980 21
40010009 12030292 22
50000137 11996578 23
30040002 11894771 23
50000121 11688686 11
40010491 11616309 12
40040001 11447628 13
40010454 11425887 14
50000062 11292199 15
40010427 11176401 16
40010433 11162937 17
40010499 10891782 18
40010473 10795076 19
40010236 10772582 20
40010532 10665805 21
50000093 10498783 22
40010574 10151157 23
50000111 10130387 24
40010110 9997409 24
40010438 9984621 12
40010605 9962632 13
40010413 9849696 14
50000066 9839668 15
40010541 9732000 16
40010114 9589984 17
40010479 9540908 18
40010492 9248637 19
40010303 8900124 20
50000142 8865582 21
40010592 8811326 22
40010577 8778028 23
40010474 8777440 24
50000119 8761168 24
40010502 8756706 13
40010457 8692882 14
50000117 8571610 15
40010465 8453840 16
50000103 8234860 17
40010140 8209447 18
40010599 8085882 19
50000126 8017759 20
30030017 8010867 21
20010010 7932846 22
40010099 7877703 23
40010586 7701534 24
40010289 7540045 25
40010467 7496973 25
40010481 7376337 14
40010583 7275535 15
40010451 7258814 16
40010440 6889226 17
40010505 6847733 18
40010607 6636862 19
40010044 6590383 20
40010154 6580117 21
30030016 6344714 22
40010517 6200869 23
40010086 6129148 24
40010265 6084301 25
10010001 6046232 26
40010553 6030597 26
40010580 5904735 15
40010606 5825488 16
40010514 5675591 17
40010057 5671929 18
40010441 5662056 19
30030009 5615660 20
40010109 5587601 21
40010125 5545373 22
40010324 5425027 23
20010035 5422873 24
40010523 5277891 25
40010535 5261928 26
40010533 5141148 26
40010183 5003452 16
