1000 0.500000
0
1
0
Filter @ 0x117f010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
90000005 18409 14
40010645 18302 13
40010244 18198 14
40010386 17924 15
40010321 17760 15
40010189 16924 14
50000072 16851 15
40010340 15877 15
40010219 15821 15
40010385 14720 15
40010306 14614 16
50000040 14186 16
40010190 13973 16
40010534 13391 17
30020013 13357 18
50000010 12973 19
40010309 12961 20
40010409 12569 21
40010310 12423 22
50000140 12333 23
10060002 11709 23
40010313 11676 13
40010194 10973 14
40010243 10881 14
40010410 10610 14
40010173 10597 15
40010315 10480 15
40010220 10104 15
40010175 9938 15
50000035 8977 16
40010197 8785 16
40010084 8344 16
40010063 8129 17
40010613 7933 18
40010076 7857 19
40010366 7497 20
40010633 7466 21
40010231 6796 22
40010285 6615 23
40010407 6084 23
40010081 6029 14
40010281 5899 15
40010370 5754 15
30020017 5146 15
40010204 5143 15
40010278 5011 16
40010305 4820 16
40010623 4761 16
40010196 4744 17
40010147 4499 18
40010398 4317 19
40010277 4261 20
40010332 4091 21
40010221 4007 22
30020006 3830 22
40010248 3774 15
40010169 3521 15
40010215 3513 16
40010218 3233 16
40010483 3094 16
40010614 2688 17
50000136 2603 18
40010036 2458 19
40010570 2173 20
40010392 2161 21
40010617 2031 22
40010504 2014 22
40010104 2007 16
40010323 1794 16
40010203 1699 16
40010201 1644 17
40010227 1624 18
40010252 1435 19
40010280 1408 20
40010145 1353 21
40010618 1266 22
40010316 1196 22
30040005 1196 16
30020009 967 17
40010642 889 18
40010304 871 19
50000075 756 20
40010149 702 21
40010195 651 22
40010371 598 22
40010240 572 17
40010368 554 18
50000043 430 19
40010388 374 20
40010198 354 21
40010383 262 21
40010260 180 18
40010344 171 19
40010259 121 20
10070001 98 21
40010531 85 21
40010381 75 19
10070013 53 20
40010222 40 21
50000074 38 21
40010643 31 20
40010650 29 21
40010286 29 21
40010311 18 21
40010374 17 22
40010364 13 22
40010247 13 22
40010373 10 22
40010312 9 23
40010384 5 23
40010325 4 23
40010393 3 24
40010361 3 25
50000061 2 26
40010387 2 27
40010336 2 28
40010375 1 29
40010367 1 30
40010343 1 30
